  T        pwa93       esc96       nijm1       nijm2       nijm93  
223.000     5.63651     2.57364     5.02089     4.64973     3.49395
224.000     5.49673     2.42464     4.88486     4.51295     3.34328
225.000     5.35725     2.27605     4.74924     4.37660     3.19298
226.000     5.21807     2.12786     4.61404     4.24065     3.04305
227.000     5.07919     1.98006     4.47924     4.10512     2.89347
228.000     4.94059     1.83267     4.34484     3.97000     2.74426
229.000     4.80229     1.68567     4.21085     3.83529     2.59540
230.000     4.66426     1.53906     4.07725     3.70098     2.44690
231.000     4.52652     1.39283     3.94405     3.56707     2.29875
232.000     4.38906     1.24699     3.81124     3.43356     2.15094
233.000     4.25187     1.10154     3.67882     3.30045     2.00349
234.000     4.11495     0.95647     3.54679     3.16773     1.85638
235.000     3.97830     0.81177     3.41515     3.03540     1.70961
236.000     3.84191     0.66745     3.28388     2.90346     1.56319
237.000     3.70579     0.52350     3.15300     2.77191     1.41710
238.000     3.56993     0.37992     3.02249     2.64074     1.27135
239.000     3.43432     0.23671     2.89235     2.50994     1.12593
240.000     3.29896     0.09386     2.76259     2.37953     0.98085
241.000     3.16386    -0.04862     2.63319     2.24949     0.83609
242.000     3.02900    -0.19075     2.50416     2.11982     0.69167
243.000     2.89439    -0.33251     2.37549     1.99053     0.54757
244.000     2.76002    -0.47392     2.24719     1.86160     0.40379
245.000     2.62589    -0.61498     2.11924     1.73304     0.26033
246.000     2.49199    -0.75569     1.99165     1.60484     0.11720
247.000     2.35833    -0.89605     1.86441     1.47700    -0.02562
248.000     2.22490    -1.03606     1.73753     1.34952    -0.16812
249.000     2.09170    -1.17572     1.61099     1.22240    -0.31031
250.000     1.95872    -1.31505     1.48480     1.09563    -0.45218
251.000     1.82596    -1.45403     1.35895     0.96921    -0.59375
252.000     1.69342    -1.59268     1.23345     0.84314    -0.73500
253.000     1.56110    -1.73100     1.10829     0.71742    -0.87595
254.000     1.42900    -1.86897     0.98346     0.59204    -1.01660
255.000     1.29710    -2.00662     0.85897     0.46701    -1.15694
256.000     1.16542    -2.14394     0.73481     0.34232    -1.29698
257.000     1.03394    -2.28093     0.61099     0.21796    -1.43672
258.000     0.90267    -2.41760     0.48749     0.09395    -1.57616
259.000     0.77160    -2.55394     0.36432    -0.02974    -1.71531
260.000     0.64072    -2.68996     0.24147    -0.15309    -1.85416
261.000     0.51005    -2.82567     0.11895    -0.27610    -1.99272
262.000     0.37957    -2.96105    -0.00326    -0.39879    -2.13099
263.000     0.24928    -3.09613    -0.12514    -0.52116    -2.26897
264.000     0.11918    -3.23088    -0.24671    -0.64320    -2.40666
265.000    -0.01074    -3.36533    -0.36796    -0.76491    -2.54406
266.000    -0.14047    -3.49947    -0.48890    -0.88631    -2.68118
267.000    -0.27001    -3.63330    -0.60953    -1.00739    -2.81802
268.000    -0.39938    -3.76682    -0.72985    -1.12815    -2.95458
269.000    -0.52857    -3.90004    -0.84987    -1.24859    -3.09085
270.000    -0.65758    -4.03296    -0.96958    -1.36872    -3.22685
271.000    -0.78642    -4.16558    -1.08899    -1.48854    -3.36257
272.000    -0.91509    -4.29789    -1.20809    -1.60805    -3.49801
273.000    -1.04360    -4.42992    -1.32690    -1.72726    -3.63318
274.000    -1.17193    -4.56164    -1.44541    -1.84615    -3.76808
275.000    -1.30010    -4.69308    -1.56362    -1.96474    -3.90271
276.000    -1.42811    -4.82422    -1.68154    -2.08303    -4.03706
277.000    -1.55596    -4.95507    -1.79917    -2.20102    -4.17115
278.000    -1.68365    -5.08563    -1.91651    -2.31871    -4.30497
279.000    -1.81119    -5.21591    -2.03356    -2.43611    -4.43853
280.000    -1.93857    -5.34590    -2.15032    -2.55320    -4.57182
281.000    -2.06581    -5.47561    -2.26680    -2.67000    -4.70485
282.000    -2.19289    -5.60504    -2.38299    -2.78651    -4.83762
283.000    -2.31983    -5.73419    -2.49891    -2.90273    -4.97012
284.000    -2.44662    -5.86306    -2.61454    -3.01866    -5.10237
285.000    -2.57327    -5.99165    -2.72989    -3.13431    -5.23436
286.000    -2.69978    -6.11996    -2.84497    -3.24966    -5.36610
287.000    -2.82615    -6.24801    -2.95977    -3.36473    -5.49758
288.000    -2.95239    -6.37578    -3.07430    -3.47952    -5.62880
